#runNumer,POS,TARGET,durée (s),Charge fit (µC)
15,N,CH2,48960,197000
16,N,CH2,3720,107000
17,N,CH2,600,14100
18,N,CH2,900,32300
19,N,CH2,4500,139000
20,N,CH2,2760,96500
21,N,CH2,5340,199000
22,N,CH2,5820,199000
23,N,CH2,6000,222000
24,N,CH2,3120,99200
25,N,CH2,17220,6490
26,N,CH2,2580,47100
27,N,CH2,840,20600
29,N,CH2,900,17000
30,N,CH2,1320,27300
32,N,CH2,1020,24900
33,N,CH2,2760,62400
34,N,CH2,3840,87600
35,N,CH2,6060,129000
36,N,CH2,7080,147000
37,N,CH2,5760,89600
38,N,CH2,2880,80300
39,R,CH2,6060,189000
40,R,empty,1980,61800
41,R,X,7620,212000
42,R,X,8700,243000
43,R,C,13440,364000
44,R,C,7200,196000
45,R,C,5760,143000
46,R,C,6600,145000
47,R,C,1680,49400
48,R,C,7260,218000
49,R,C,3840,113000
50,N,C,3900,32700
51,N,C,7560,230000
52,N,C,7560,235000
53,N,C,7980,223000
54,N,C,2160,61700
55,N,C,4500,122000
56,N,C,7080,177000
57,N,C,7380,181000
58,N,C,7200,227000
59,N,C,-1,-1
60,N,C,1380,10900
61,N,C,2940,38800
62,N,C,8760,170000
63,N,C,3240,79900
64,N,CH2,240,3490
65,N,CH2,7200,187000
66,N,CH2,5100,181000
67,N,X,10680,235000
68,N,X,1080,38900
69,N,C,8340,274000
70,N,C,7260,259000
71,N,C,7080,256000
72,N,C,7980,261000
73,N,C,5340,153000
74,N,C,7320,274000
75,N,C,1080,42200
76,N,X,8940,308000
77,N,X,5940,214000
78,N,CH2,1800,62500
79,N,CH2,6960,208000
80,R,CH2,9000,305000
81,R,X,1440,54100
82,R,X,4740,176000
83,R,C,8940,285000
84,R,C,6780,250000
85,R,C,10500,344000
86,R,C,5400,187000
87,N,C,7200,287000
88,N,C,6540,207000
89,N,C,6780,229000
90,N,C,6120,166000
91,N,C,7980,296000
92,N,C,15600,352000
93,R,C,7200,242000
94,R,C,3480,130000
95,R,CH2,10200,285000
96,R,CH2,2280,56600
97,N,CH2,7680,253000
98,N,CH2,3840,128000
99,N,X,4260,65300
100,N,X,2220,7080
101,N,X,3300,74100
102,N,C,6900,221000
103,N,C,7020,227000
104,N,C,8160,230000
105,N,C,720,23100
106,N,Cr_Thick_fw,11580,354000
107,N,Pol1,900,405
108,N,Pol1,540,8710
109,N,Pol1,360,918
110,N,Pol1,9180,245000
111,N,Pol1,1020,32100
112,R,Pol1,13800,236000
113,R,Cr_Thick_fw,7200,204000
114,R,Cr_Thick_fw,7680,242000
115,R,Cr_Thick_fw,6780,214000
116,R,Cr_Thick_fw,10140,221000
117,R,Cr_Thick_fw,10560,183000
118,U,3alpha,9420,2020
119,R,Cr_Thick_fw,3120,31200
120,R,Cr_Thick_fw,-1,-1
121,R,Cr_Thick_fw,7140,197000
122,R,Cr_Thick_fw,2700,61500
123,N,Cr_Thick_fw,7440,182000
124,N,Cr_Thick_fw,7740,138000
125,U,3alpha,360,95.8
126,U,3alpha,-1,-1
127,U,3alpha,-1,-1
128,U,3alpha,-1,-1
129,U,3alpha,-1,-1
130,U,3alpha,-1,-1
131,U,3alpha,-1,-1
134,U,3alpha,-1,-1
135,U,3alpha,6960,1850
136,U,3alpha,1380,362
137,U,3alpha,2760,713
138,U,3alpha,-1,-1
139,U,3alpha,2400,644
140,U,3alpha,3480,899
141,U,empty,41100,10200
142,N,Cr_Thick_fw,3660,26300
143,R,Cr_Thick_fw,8400,64400
144,R,Pol1,3660,27000
145,R,empty,-1,-1
146,R,Cr_Thick_bw,4860,35100
147,R,Cr_Thick_bw,8340,62100
148,R,Cr_Thick_bw,8040,56600
149,R,Pol2,3600,25600
150,N,CH2,3540,25700
151,N,CH2,9960,71000
152,N,CH2,1260,9800
153,N,empty,-1,-1
154,N,CH2,-1,-1
155,U,3alpha,-1,-1
156,U,3alpha,-1,-1
157,U,3alpha,-1,-1
158,U,3alpha,-1,-1
