25.5,5.,2.5,1.421,0.579
25.5,5.,10.,1.145,0.467
25.5,5.,20.,0.695,0.235
25.5,5.,30.,0.142,0.102
25.5,5.,40.,0.042,0.023
25.5,5.,50.,0.006,0.004
25.5,5.,60.,0.001,0.001
25.5,7.,2.5,3.021,3.021
25.5,7.,10.,3.009,3.009
25.5,7.,20.,8.083,0.845
25.5,7.,30.,5.939,0.680
25.5,7.,40.,2.307,0.341
25.5,7.,50.,2.652,0.397
25.5,7.,60.,1.745,0.294
25.5,7.,70.,1.897,0.315
25.5,7.,80.,2.392,0.491
25.5,7.,90.,2.277,0.463
25.5,7.,100.,2.168,0.437
25.5,7.,110.,2.553,0.296
25.5,7.,120.,1.977,0.329
25.5,7.,130.,1.899,0.253
25.5,7.,140.,1.913,0.183
25.5,7.,150.,1.782,0.178
25.5,7.,160.,1.746,0.174
25.5,7.,170.,1.723,0.172
25.5,7.,177.5,1.716,0.171
25.5,9.,2.5,6.904,0.560
25.5,9.,10.,6.731,0.546
25.5,9.,20.,5.619,0.465
25.5,9.,30.,5.033,0.447
25.5,9.,40.,4.241,0.379
25.5,9.,50.,3.748,0.370
25.5,9.,60.,3.157,0.323
25.5,9.,70.,3.865,0.373
25.5,9.,80.,1.588,1.210
25.5,9.,90.,1.165,0.981
25.5,9.,100.,0.855,0.788
25.5,9.,110.,2.281,0.204
25.5,9.,120.,0.478,0.478
25.5,9.,130.,0.371,0.371
25.5,9.,140.,1.981,0.139
25.5,9.,150.,0.249,0.202
25.5,9.,160.,0.059,0.026
25.5,9.,170.,0.202,0.125
25.5,9.,177.5,0.197,0.122
25.5,11.,2.5,3.356,0.290
25.5,11.,10.,3.310,0.286
25.5,11.,20.,3.446,0.274
25.5,11.,30.,2.986,0.267
25.5,11.,40.,2.669,0.230
25.5,11.,50.,2.102,0.215
25.5,11.,60.,1.968,0.203
25.5,11.,70.,1.702,0.194
25.5,11.,80.,1.501,0.165
25.5,11.,90.,1.267,0.139
25.5,11.,100.,1.070,0.118
25.5,11.,110.,0.961,0.100
25.5,11.,120.,0.778,0.136
25.5,11.,130.,0.677,0.163
25.5,11.,140.,0.816,0.066
25.5,11.,150.,0.545,0.159
25.5,11.,160.,0.341,0.057
25.5,11.,170.,0.485,0.135
25.5,11.,177.5,0.478,0.133
25.5,13.,2.5,2.026,0.184
25.5,13.,10.,1.997,0.181
25.5,13.,20.,1.943,0.173
25.5,13.,30.,2.449,0.212
25.5,13.,40.,1.667,0.157
25.5,13.,50.,1.479,0.158
25.5,13.,60.,0.862,0.117
25.5,13.,70.,0.886,0.119
25.5,13.,80.,0.886,0.112
25.5,13.,90.,0.744,0.091
25.5,13.,100.,0.625,0.074
25.5,13.,110.,0.481,0.060
25.5,13.,120.,0.451,0.062
25.5,13.,130.,0.391,0.063
25.5,13.,140.,0.420,0.041
25.5,13.,150.,0.312,0.054
25.5,13.,160.,0.296,0.047
25.5,13.,170.,0.277,0.045
25.5,13.,177.5,0.273,0.045
25.5,15.,2.5,1.547,0.157
25.5,15.,10.,1.526,0.155
25.5,15.,20.,1.625,0.148
25.5,15.,30.,1.597,0.143
25.5,15.,40.,1.313,0.121
25.5,15.,50.,1.039,0.114
25.5,15.,60.,0.763,0.091
25.5,15.,70.,0.588,0.091
25.5,15.,80.,0.688,0.142
25.5,15.,90.,0.580,0.105
25.5,15.,100.,0.489,0.075
25.5,15.,110.,0.420,0.053
25.5,15.,120.,0.355,0.058
25.5,15.,130.,0.308,0.062
25.5,15.,140.,0.350,0.033
25.5,15.,150.,0.247,0.049
25.5,15.,160.,0.191,0.036
25.5,15.,170.,0.220,0.034
25.5,15.,177.5,0.217,0.034
25.5,17.,2.5,1.182,0.127
25.5,17.,10.,1.166,0.125
25.5,17.,20.,0.977,0.093
25.5,17.,30.,1.200,0.112
25.5,17.,40.,1.246,0.105
25.5,17.,50.,1.088,0.106
25.5,17.,60.,0.573,0.073
25.5,17.,70.,0.464,0.067
25.5,17.,80.,0.541,0.107
25.5,17.,90.,0.459,0.078
25.5,17.,100.,0.389,0.055
25.5,17.,110.,0.302,0.037
25.5,17.,120.,0.286,0.056
25.5,17.,130.,0.249,0.070
25.5,17.,140.,0.318,0.029
25.5,17.,150.,0.202,0.055
25.5,17.,160.,0.148,0.026
25.5,17.,170.,0.180,0.032
25.5,17.,177.5,0.178,0.032
25.5,19.,2.5,1.354,0.112
25.5,19.,10.,1.330,0.110
25.5,19.,20.,1.225,0.104
25.5,19.,30.,1.118,0.107
25.5,19.,40.,1.220,0.104
25.5,19.,50.,0.975,0.100
25.5,19.,60.,0.620,0.076
25.5,19.,70.,0.522,0.071
25.5,19.,80.,0.483,0.062
25.5,19.,90.,0.389,0.053
25.5,19.,100.,0.313,0.046
25.5,19.,110.,0.207,0.030
25.5,19.,120.,0.208,0.033
25.5,19.,130.,0.174,0.028
25.5,19.,140.,0.178,0.021
25.5,19.,150.,0.132,0.025
25.5,19.,160.,0.135,0.025
25.5,19.,170.,0.114,0.024
25.5,19.,177.5,0.112,0.023
25.5,21.,2.5,1.096,0.101
25.5,21.,10.,1.075,0.099
25.5,21.,20.,0.977,0.093
25.5,21.,30.,0.880,0.095
25.5,21.,40.,0.955,0.092
25.5,21.,50.,0.719,0.086
25.5,21.,60.,0.592,0.075
25.5,21.,70.,0.368,0.060
25.5,21.,80.,0.368,0.060
25.5,21.,90.,0.293,0.046
25.5,21.,100.,0.233,0.035
25.5,21.,110.,0.162,0.027
25.5,21.,120.,0.151,0.023
25.5,21.,130.,0.125,0.019
25.5,21.,140.,0.123,0.017
25.5,21.,150.,0.093,0.018
25.5,21.,160.,0.084,0.020
25.5,21.,170.,0.080,0.019
25.5,21.,177.5,0.078,0.018
25.5,23.,2.5,0.813,0.116
25.5,23.,10.,0.797,0.114
25.5,23.,20.,0.622,0.074
25.5,23.,30.,0.755,0.088
25.5,23.,40.,0.681,0.078
25.5,23.,50.,0.647,0.082
25.5,23.,60.,0.366,0.059
25.5,23.,70.,0.261,0.050
25.5,23.,80.,0.249,0.041
25.5,23.,90.,0.194,0.033
25.5,23.,100.,0.151,0.027
25.5,23.,110.,0.103,0.022
25.5,23.,120.,0.095,0.018
25.5,23.,130.,0.077,0.016
25.5,23.,140.,0.072,0.014
25.5,23.,150.,0.056,0.015
25.5,23.,160.,0.051,0.015
25.5,23.,170.,0.047,0.014
25.5,23.,177.5,0.046,0.014
25.5,25.,2.5,0.499,0.067
25.5,25.,10.,0.486,0.065
25.5,25.,20.,0.408,0.060
25.5,25.,30.,0.362,0.061
25.5,25.,40.,0.460,0.064
25.5,25.,50.,0.257,0.051
25.5,25.,60.,0.207,0.044
25.5,25.,70.,0.126,0.035
25.5,25.,80.,0.109,0.027
25.5,25.,90.,0.080,0.021
25.5,25.,100.,0.058,0.016
25.5,25.,110.,0.036,0.013
25.5,25.,120.,0.032,0.010
25.5,25.,130.,0.024,0.009
25.5,25.,140.,0.019,0.007
25.5,25.,150.,0.016,0.009
25.5,25.,160.,0.023,0.010
25.5,25.,170.,0.013,0.010
25.5,25.,177.5,0.013,0.009
25.5,27.,2.5,0.206,0.061
25.5,27.,10.,0.201,0.059
25.5,27.,20.,0.249,0.047
25.5,27.,30.,0.093,0.031
25.5,27.,40.,0.283,0.050
25.5,27.,50.,0.174,0.042
25.5,27.,60.,0.075,0.027
25.5,27.,70.,0.029,0.017
25.5,27.,80.,0.045,0.022
25.5,27.,90.,0.033,0.017
25.5,27.,100.,0.024,0.013
25.5,27.,110.,0.022,0.010
25.5,27.,120.,0.013,0.009
25.5,27.,130.,0.010,0.008
25.5,27.,140.,0.014,0.007
25.5,27.,150.,0.007,0.006
25.5,27.,160.,0.006,0.005
25.5,27.,170.,0.005,0.005
25.5,27.,177.5,0.005,0.005
25.5,29.,2.5,0.047,0.022
25.5,29.,10.,0.046,0.021
25.5,29.,20.,0.035,0.020
25.5,29.,30.,0.042,0.023
25.5,29.,40.,0.062,0.025
25.5,29.,50.,0.031,0.018
25.5,29.,60.,0.019,0.013
25.5,29.,70.,0.090,0.014
